qid	Human	Raw-T5	Rewritten-T5
845	What are the risks of investing in startups?	What are the risks of investing in OpenGov?	What are the risks of investing in startups?
846	What are the different types of instruments used by Venture Capitalists?	What are the different types of instruments used by VCs?	What are the different types of instruments used by VCs for angel investing?
851	How much does a Lamborghini cost?	How much does a used Lamborghini cost?	How much does a used Lamborghini cost?
852	How does a Lamborghini compare to a Ferrari?	How does a used Lamborghini compare to a Ferrari?	How does a Lamborghini compare to a Ferrari?
853	Interesting. How much does a pimped-out food truck cost?	What about for a pimped-out food truck?	What about a pimped-out food truck?
854	What licenses and permits are needed for a food truck?	What licenses and permits are needed for a food truck?	What licenses and permits are needed for food trucks?
855	What makes a good food truck location?	What makes a good location for a pimped-out food truck?	What makes a good location for a food truck?
856	What is a typical day like running a food truck?	What is a typical day like for a food truck?	What is a typical day like for food trucks?
857	How can I run a successful food truck?	"How can I run the Huracan, Huracn successfully?"	How can I run the Lamborghini successfully?
858	What are some good examples of successful food trucks to learn from?	What are some good examples to learn from?	What are some good examples to learn from?
859	"Besides inventive flavors, what made Kogi successful?"	"Besides inventive flavors, what made the food truck Kogi Korean BBQ successful?"	"Besides inventive flavors, what made the Korean-Mexican fusion truck Kogi Korean BBQ successful?"
861	What is the climate like in Utah?	What is the climate like in Utah?	What is the climate like in Utah?
862	How does the climate of Salt Lake City differ from Utah overall?	How does Salt Lake City differ from other cities in the US?	How does Salt Lake City differ from other cities in the US?
863	What is the main economic activity of Salt Lake City?	What is Salt Lake City's main economic activity?	What is Salt Lake City's main economic activity?
864	What was the impact of the 2002 olympic winter games on the economy of Salt Lake City?	"What was the impact of the 2002 Winter Olympics for Salt Lake City, Utah?"	"What was the impact of the 2002 Winter Olympics in Salt Lake City, Utah?"
865	What were important ski locations used in the 2002 olympic winter games?	What were important ski locations used at the 2002 Winter Olympics in Salt Lake City?	"What were important ski locations used during the 2002 Winter Olympics in Salt Lake City, Utah?"
866	What are the important non-ski events that happen in Salt Lake City?	"What are the important non-ski events that happen in Salt Lake City, Utah?"	"What are the important non-ski events that happen in Salt Lake City, Utah?"
867	What are some popular non-winter things to do in the Salt Lake City area?	What about some popular non-winter things to do in Salt Lake City?	"What about some popular non-winter things to do in Salt Lake City, Utah?"
871	What are the different types of orange trees?	What are the different types of orange trees?	What are the different types of orange trees?
872	How can you tell different types of orange trees apart?	How can you tell the two types of oranges apart?	How can you tell blood oranges apart?
873	What type of orange tree has thorns?	What type of orange tree has thorns?	What type of orange tree has thorns?
874	Where do orange trees originally come from?	Where do Osage Orange trees originally come from?	Where do orange trees originally come from?
875	Tell me about the Hamlin orange variety.	Tell me about the Hamlin variety of orange trees.	Tell me about the Hamlin variety of oranges.
877	What are the different types of navel oranges?	What are the different types of navels in the orange tree?	What are the different types of navels?
878	Which type of navel orange is the most delicious?	Which is the most delicious orange?	Which is the most delicious orange?
879	How do cara cara oranges compare with blood oranges?	How do Cara Cara oranges compare with blood oranges?	How do CARA CARA navel oranges compare with blood oranges?
881	Can I have some information on the labor systems of the Ottoman Empire?	Can I have some information on the labor systems of the Ottoman Empire?	Can I have some information on the labor systems of the Ottoman Empire?
882	What was the role of slavery in the labor system of the Ottoman Empire?	What was the role of slavery in the Ottoman Empire?	What was the role of slavery in the Ottoman Empire?
883	How did the Ottoman Empire govern?	How did the Ottoman Empire govern?	How did the Ottoman Empire govern?
884	Why was the Ottoman Empire important?	Why was the system of administrative organization of the Ottoman Empire important?	Why was military service important in the Ottoman Empire?
885	What was the culture like in the Ottoman Empire?	What was the culture like in the Ottoman Empire?	What was the culture like in the Ottoman Empire?
886	What was the role of storytellers in the culture of the Ottoman Empire?	What was the role of storytellers in the Ottoman Empire?	What was the role of storytellers in the Ottoman Empire?
887	What were popular stories told by meddahs in the Ottoman Empire?	What were popular Turkish stories?	What were popular Turkish stories?
888	What was the importance of the confessional millet system to the Ottoman Empire?	What was the importance of the millet in the Ottoman Empire?	What was the importance of the millet in the Ottoman Empire?
889	Why did the British continue the confessional millet system from the Ottoman Empire?	Why did the British continue milling?	Why did the British continue the millet trade?
8810	What is the historical importance of the confessional millet system in the development of national identities?	What is slavery's historical importance in developing national identities?	What is the Ottoman Empire's historical importance in developing national identities?
891	What is the relationship between predator and prey?	What is the relationship between predator and prey?	What is the relationship between predator and prey?
892	What do predator plants eat?	What do predator plants eat?	What do predator plants eat?
893	What do Venus flytraps eat?	What about Venus flytraps in particular?	What about Venus flytraps in particular?
894	Where is the Venus flytrap native to?	Where is Dionaea muscipula native to?	Where is Dionaea muscipula native to?
895	How do Venus flytraps attract and catch their prey?	How do Venus flytraps attract and catch their prey?	How do Venus flytraps attract and catch their prey?
896	What other carnivorous plants are native to North and South Carolina?	What are other similar plants to Venus flytraps from its native area?	What are other similar plants from Dionaea muscipula's native area?
897	How do populations of predators and prey relate?	How do populations of predators and prey relate?	How do populations of predators and prey relate?
898	Why would the roles of predator and prey reverse?	Why would the roles of predator and prey reverse?	Why would the roles of predators and prey reverse?
899	How do predators and prey influence biodiversity?	How does the relationship between predator and prey influence biodiversity?	How does the relationship between predator and prey influence biodiversity?
8910	What are examples of apex predators?	What are examples of these predators?	What are examples of apex predators?
8911	Why would humans be considered apex predators?	Why would humans be considered a top predator?	Why would humans be considered a top predator?
901	Which is the biggest commercial plane?	Which is the biggest commercial plane?	Which is the biggest commercial plane?
902	What are the operational costs of the Airbus A380?	What are Airbus A380's operational costs?	What are the Airbus A380's operational costs?
903	How does the Airbus A380 fuel consumption compare to its competitors?	How does the Airbus A380's fuel consumption compare to its competitors?	How does the Airbus A380's fuel consumption compare to its competitors?
904	How do the freighter versions of the Airbus A380 and Boeing 747 compare to each other?	How do the Boeing 747-400 and the Boeing 747-400 freighter versions compare to each other?	How do the Boeing 747-400 freighter versions of the Airbus A380 compare to each other?
905	Why did the Airbus A380 stop being produced?	Why did the A380 stop being produced?	Why did the Airbus A380 stop being produced?
906	What was Boeing's response to compete with the Airbus A380?	What was Boeing's response to compete with it?	What was Boeing's response to compete with it?
907	What is the newest version of the Boeing 777 and what is better about it?	What is the newest version of the A380 and what is better about it?	What is the newest version of the Airbus A380 and what is better about it?
908	What are the differences between the Boeing 777X-8 and 777X-9?	What are the differences between the Boeing 777X and the 7777-9 variants?	What are the differences between the 777X and the 7777-9?
911	What is the purpose of the General Data Protection Regulation (GDPR)?	What is the purpose of GDPR?	What is the purpose of GDPR?
912	What is different between General Data Protection Regulation (GDPR) and European Union (EU) Data Protection Directive 95/46/EC?	What is different compared to previous GDPR legislation?	What is different compared to previous GDPR legislation?
913	What are the privacy implications of social networks and cloud computing?	What are the privacy implications of the new technologies in the GDPR?	What are the privacy implications of those technologies?
914	"Oh, Internet Protocol (IP) addresses are considered Personally Identifying Information (PII)? What is the full range of personal data defined in the General Data Protection Regulation (GDPR)?"	What is the full range of personal data under GDPR?	What is the full range of personal data under GDPR?
915	How do big companies in the United States (US) adapt to the General Data Protection Regulation (GDPR)?	How do big companies adapt to GDPR?	How do big companies adapt to GDPR?
916	OK. Tell me about the privacy issues in social networks.	OK. Tell me about the privacy issues in social networks.	OK. Tell me about the privacy issues in social networks.
917	What do users of social networks get in return for by giving up their privacy?	What do social media users get in return for their privacy?	What do users get in return for their privacy under GDPR?
918	What are the symptoms of social network addiction?	What are the symptoms of social network addiction?	What are the symptoms of social network addiction?
921	Do shoulder braces help recover from an injury?	Do shoulder braces help recover from an injury?	Do shoulder braces help recover from an injury?
922	Tell me more about some shoulder exercises that could help recovery from an injury.	Tell me more about some exercises that could help with shoulder braces	Tell me more about some exercises that could help with shoulder braces
923	What are other exercises besides Pendulum circles for shoulder injuries?	What are some other exercises that could help with shoulder injuries besides pendulum circles?	What are some other exercises that could help with shoulder braces besides pendulum circles?
924	How do I know if my shoulder pain is serious?	How do I know if shoulder impingement syndrome is serious?	How do I know if the shoulder impingement syndrome is serious?
925	When should you consider shoulder surgery?	When should you consider surgery for a shoulder injury?	When should you consider surgery for a shoulder impingement syndrome?
926	That seems extreme. What are other ways to treat shoulder pain?	What are other ways to treat the pain from the shoulder injury?	What are other ways to treat the pain of shoulder impingement syndrome?
927	How do I stop my shoulder from hurting at my desk?	How do I stop my shoulder from hurting at my desk?	How do I stop my shoulder from hurting at my desk?
931	Tell me about purchasing a Burger King franchise.	Tell me about purchasing a Burger King franchise.	Tell me about purchasing a Burger King franchise.
932	"No, not information about Burger King's acquisition. I want to know how to open a Burger King franchise."	"No, not information about the Pillsbury Company's acquisition. I want to know how to open a Burger King franchise."	"No, not information about Pillsbury Company's acquisition. I want to know how to open a Burger King franchise."
933	Is there any financial support for the initial franchise fee of a Burger King restaurant franchise?	Is there any financial support for the royalty fee for Burger King?	Is there any financial support for the initial franchise fee?
934	How much does a Burger King franchise owner typically make?	How much does a Burger King owner typically make?	How much does an owner of a Burger King typically make?
935	Is it better to be a Burger King franchisee or an independent restaurant owner?	Is it better to be a franchise or independent McDonalds?	Is it better to be a franchise or independent?
936	What support does the franchise provide?	What support does the Burger King Franchise Agreement provide?	What support does the Franchise Agreement provide?
941	How did snowboarding begin?	How did snowboarding begin?	How did snowboarding begin?
942	Interesting. That's later than I expected. Who were the winners of snowboarding events in the 1998 Winter Olympics?	Who were the winners of the 1998 Winter Olympics snowboarding competition?	Who were the winners of the 1998 Winter Olympic Games?
943	What are strap-in snowboard bindings?	What are strap-in bindings?	What are strap-in bindings?
944	What's an alternative to the strap-in binding style for snowboarding?	What's an alternative to strap-in bindings?	What's an alternative to strap-in bindings?
945	What else besides bindings do I need for my first time snowboarding?	What else do I need for my first time snowboarding?	What else do I need for my first time?
946	How can I teach myself to get started snowboarding?	How can I teach myself to get started snowboarding?	How can I teach myself to get started snowboarding?
947	What are the best snowboarding slopes for beginners around Seattle?	What are the best slopes in Seattle for snowboarders?	What are the best slopes in Seattle?
948	What are other things to do at Mount Bachelor Ski & Sports	What are other things to do at Bachelor?	What are other things to do at Bachelor?
951	How are waste and garbage processed?	How are waste and garbage processed?	How are waste and garbage processed?
952	Interesting. What is the impact of burning waste and garbage on the environment?	What is the impact of burning on the environment?	What is the impact of burning on the environment?
953	Why does waste compaction slow the biodegradation of organic waste?	Why does compacting stubble slow the waste processing?	So you can compact them; why does it slow the waste processing?
954	How is sewage recycled?	How is sewage recycled in landfills?	How is sewage recycled?
955	What are the pros and cons of recycling vs composting garbage?	What are the pros and cons of recycling vs composting?	What are the pros and cons of recycling vs composting?
956	Tell me more about biodegradable plastics.	Tell me more about biodegradable plastics in municipal solid waste.	Tell me more about biodegradable plastics in municipal solid waste.
957	How are biodegradable plastics made?	How are biodegradable plastics made?	How are biodegradable plastics made?
958	How is corn oil used to make biodegradable plastics?	How is corn oil used in biodegradable plastics?	How is corn oil used in biodegradable plastics?
961	How do you make Japanese Yakiniku ?	How do you make Japanese Yakiniku?	How do you make Japanese Yakiniku?
963	What are the best Yakiniku restaurants in Tokyo?	What are the best Yakiniku restaurants in Tokyo?	What are the best Yakiniku restaurants in Tokyo?
964	Tell me about three star Michelin sushi restaurants in Tokyo.	Tell me about three star Michelin sushi restaurants in Tokyo?	Tell me about three star Michelin sushi restaurants in Tokyo.
965	How do I make dinner reservations in Tokyo restaurants?	Oh you need an agent to make reservations at Kagurazaka Ishikawa?	Oh you need an agent to make reservations for Kagurazaka Ishikawa?
966	Tell me what other fun things there are to do in Tokyo besides eating.	Tell me other fun things to do in Tokyo besides eat at Sukiyabashi Jiro?	Tell me other fun things to do in Tokyo besides Yakiniku?
967	What is the cost of living in Tokyo compared to New York City (NYC)?	What is the cost of living in Tokyo compared to NYC?	What is the cost of living in Tokyo compared to NYC?
968	What is the salary of working in foreign law firms in Tokyo?	What is the salary of foreign law firms in Japan?	What is the salary of foreign law firms in Tokyo?
971	Who are the rivals of the Pittsburgh Steelers?	Who are the rivals of the Steelers?	Who are the rivals of the Steelers?
972	What are notable games between Baltimore Ravens versus Pittsburgh Steelers	What are notable games between Ravens versus Steelers?	What are notable games between Ravens versus Steelers?
973	What are notable moments in the Ravens and Steelers rivalry?	And notable moments in the Ravens versus Steelers rivalry?	And notable moments in the Ravens versus Steelers rivalry?
974	Tell me more about Polamalu's Interception versus Ravens in the 2008 AFC Championship game.	Tell me more about that Polamalu's interception in Super Bowl XLIII.	Tell me more about that Polamalu's interception in the 2008 NFL season?
975	How about Polamalu's interception return touchdown?	How about Polamalu's pick-6?	How about that Polamalu's pick-6?
976	Tell me more about the immaculate reception of Pittsburgh Steelers.	Tell me more about the immaculate reception of the Pick-6 project by Polamalu.	Tell me more about that Polamalu's immaculate reception in the 2008 NFL season?
977	What happened to Three Rivers stadium?	What happened to Three Rivers Stadium?	What happened to Three Rivers Stadium?
978	Tell me more about Steelers' defense scheme.	Tell me more about the Pittsburgh Pirates defense.	Tell me more about the Steelers defense?
981	What is the environmental cost of food production?	What is the environmental cost of food production?	What is the environmental cost of food production?
982	Oh that much water? How much water is used in meat production?	Oh that much water? How is that for meat?	Oh that much water? How is that for meat?
983	How much less water is used to produce vegetables compared to meat?	How much less water is used for vegetables in food production?	How much less water is used for vegetables?
984	What are the benefits of being vegetarian to the environment?	What are the benefits of being vegetarian?	What are the benefits of being vegetarian?
985	Are there any health concerns of being vegetarian?	Are there any health concerns with a vegetarian diet?	Are there any health concerns with a vegetarian diet?
986	What are the sources of proteins for vegetarians?	What are vegetarians' sources of proteins?	What are vegetarians' sources of proteins?
987	Can you show me vegetarian recipes with almonds?	Oh almonds? Can you show me recipes with it?	Oh almonds? Can you show me recipes with it?
988	How do you make almond flour?	How do you make the almond flour for macarons?	How do you make the almond flour and meringue?
991	What is high blood carbon dioxide?	What is high blood carbon dioxide?	What is high blood carbon dioxide?
992	What should you do to treat hypercapnia?	What should you do to treat high blood carbon dioxide?	What should you do to treat high blood carbon dioxide?
993	What are treatments for high cholesterol?	How do you test for high cholesterol?	How do you test for high cholesterol?
994	What should I eat to improve high cholesterol?	What should I eat to improve my cholesterol?	What should I eat to improve my cholesterol?
995	What are the differences between saturated fat and trans fat?	What are the differences between saturated fat and trans fat?	What are the differences between saturated fat and trans fat?
996	What are the benefits of unsaturated fats?	Is the other fat good for you?	Is the other fat good for you?
997	"Oh, I like fish. What foods besides fish are good sources of unsaturated fats?"	Oh I like fish. What other foods are good sources of unsaturated fat and lean protein?	Oh I like fish. What other foods are good sources of unsaturated fat and lean protein?
998	What types of unsaturated fats does olive oil contain?	What types does olive oil contain?	What types of unsaturated fats does olive oil contain?
1001	What causes my teeth to chip off?	What causes my teeth to chip off?	What causes my teeth to chip off?
1002	"Oh, what can dentists do to fix a chipped tooth?"	"Oh, what can your dentist do to fix a chipped or broken tooth?"	"Oh, what can your dentist do to fix a chipped or broken tooth?"
1003	What are the differences between dental crowns and veneers?	"I have a larger chip, how do the options different for repairing it?"	"I have a larger chip, how do the options different for my dentist?"
1004	How does an implant compare to a crown?	What about using an implant to fix a chip?	What about using an implant?
1005	Which one of dental implants or crowns is more expensive?	Which is more expensive?	Which one is more expensive?
1006	What is the coverage of the crown in insurance?	What is the coverage of the crown in insurance?	What is the coverage of the crown in insurance?
1007	What is the coverage of the crown in medicare?	I meant medicare	I meant medicare?
1008	Show me medicare dentists in Seattle	Show me covered dentists in Seattle	Show me covered dentists in Seattle?
1011	What is Melania Trump's religion?	What is Melania Trump's religion?	What is Melania Trump's religion?
1012	What did Melania Trump do before she was married?	What did Melania Trump do before she was married?	What did Melania Trump do before she was married?
1013	Does Melania Trump have children?	Does Melania Trump have children?	Does Melania Trump have children?
1014	How old is Barron Trump?	How old is Donald Trump?	How old is Donald Trump?
1015	Donald and Melania Trump met at the Kit Kat Club?  Where is the Kit Kat Club?	Where is the Kit Kat Club where Melania Trump and Donald Trump met?	Where is the Kit Kat Club where Melania Trump met Donald Trump?
1016	When did Melania Trump become a model?	When did Melania Trump become a model?	When did Melania Trump become a model?
1017	Does the public pay the First Lady of the United States?	Do we pay Melania Trump as First Lady?	Do we pay Melania Trump?
1018	Does the public pay Ivanka Trump?	What about Ivanka Trump?	What about Ivanka Trump?
1019	Does the public pay Jared Kushner?	And Jared Trump?	And Jared?
10110	What does Jared Kushner do at the White House?	What does Jared Rosholt do at the White House?	What does Jared Rosholt do at the White House?
1021	When did social security start in the United States (US)?	When did social security start in the US?	When did social security start in the US?
1022	Was social security mandatory?	Was Social Security mandatory in the United States?	Was Social Security mandatory in the US?
1023	Who received the first social security check?	Who received the first Social Security check?	Who received the first check for Social Security in the US?
1024	When did the government start borrowing from social security?	When did the government start borrowing from Social Security checks?	When did the US government start borrowing from Social Security?
1025	How much money is owed to social security?	How much is owed by Social Security?	How much is owed by Social Security?
1026	When will social security run out of money?	When will the Social Security Administration run out of money?	When will Social Security run out of money?
1027	Wow! What will happen if social security runs out of money?	Wow! What will happen to the Social Security Trust Fund?	Wow! What will happen to Social Security?
1028	Can social security be fixed?	Can Social Security checks be fixed?	Can Social Security's withdrawal from the Social Security check be fixed?
1029	How much of a tax increase will keep social security solvent?	How much of an increase is there in Social Security?	How much of an increase is there in Social Security?
1031	Why were the Grateful Dead such an influential live band?	Why were the Dead such an influential live band?	Why were the Dead such an influential live band?
1032	Why did the Grateful Dead allow live recordings?	Why did Dave and the Dead allow live recordings?	Why did the Dead allow live recordings?
1033	Did the Grateful Dead have a number one hit?	Did the Grateful Dead have a #1 hit?	Did the Dead have a #1 hit?
1034	Who was the leader of the Grateful Dead?	Who was the leader of Scarface?	Who was the leader of the Dead?
1035	How did Jerry Garcia lose his finger?	How did Jerry Garcia lose his finger?	"How did Jerome John ""Jerry"" Garcia lose his finger?"
1036	What was Jerry Garcia's relationship to Jefferson Airplane?	What was Raynaud's relationship to the Airplane?	"What was Jerome John ""Jerry"" Garcia's relationship to the Airplane?"
1038	Who wrote Cassidy?	"Who wrote the song, The Dead?"	Who wrote the song Cassidy on Stage (theatre)?
1039	What else did John Barlow and Bob Weir write?	What else did the Grateful Dead write besides Cassidy?	What else did the Dead write besides Cassidy?
10310	Why did the Grateful Dead break up?	Why did the band The Living End break up?	Why did the Dead break up?
1041	Who are some of the well-known Information Retrieval researchers?	Who are some of the well-known Information Retrieval researchers?	Who are some of the well-known Information Retrieval researchers?
1043	Who are some important British Information Retrieval researchers?	Who are some important British researchers in Information Retrieval?	Who are some important British Information Retrieval researchers?
1044	What did Cyril Cleverdon's studies contribute to the evaluation of Information Retrieval systems?	What did Cyril Cleverdon's studies contribute to evaluation?	What did Cyril Cleverdon's studies contribute to evaluation?
1046	How did the Cranfield Experiments influence modern information retrieval evaluation initiatives?	How did Brick and mortar business brick-and-mortar experiments influence modern initiatives?	How did Brick and mortar influence modern initiatives?
1047	What is TREC for information retrieval research?	What is TREC?	What is TREC?
1048	What are some recent TREC tasks?	What are some recent tasks of the Information Retrieval Research Centre?	What are some recent tasks for Information Retrieval?
1049	e-Discovery?  What's that?	What's e-Discovery? What's that?	What's e-Discovery?
10410	What are the important components of an information retrieval test collection?	What are the important components of a test collection?	What are the important components of a test collection?
10412	What are important evaluation measures for web search engines?	What are important measures for web search engines?	What are important measures for web search engines?
10413	What are important online evaluation metrics for web search?	What are the important metrics for online search engines?	What about online metrics?
1051	When did the Black Lives Matter campaign begin?	When did the Black Lives Matter campaign begin?	When did the Black Lives Matter campaign begin?
1052	Tell me more about the shooting of Trayvon Martin.	"Tell me more about what happened in Ferguson, Missouri with the Black Lives Matter movement"	"Tell me more about what happened in Ferguson, Missouri in 2014?"
1053	Why was George Zimmerman acquitted?	Why was Trayvon Martin acquitted of murder?	Why was George Zimmerman acquitted of murdering Trayvon Martin?
1054	And how what happened to Michael Brown?	And what happened to Brown in the Black Lives Matter campaign?	And how about what happened to Brown?
1055	"Who named the movement ""Black Lives Matter""?"	Who named the Black Lives Matter movement?	Who named the Black Lives Matter movement?
1056	What was the US reaction to the Black Lives Matter movement?	What was the US reaction to the Black Lives Matter campaign?	What was the US reaction to Black Lives Matter?
1057	Tell me more about the Blue Lives Matter movement.	Tell me more about the movement of the police supporters of the hashtag Blue Lives Matter	"Tell me more about the movement of the police supporters in Ferguson, Missouri?"
1058	Why were Rafael Ramos and Wenjian Liu killed?	Why were the NYPD officers killed in the 2014 killings of Wenjian Liu and Rafael Ramos?	Why were Rafael Ramos and Wenjian Liu killed?
1059	What else motivates the Black Lives Matter movement?	What else motivates the Black Lives Matter movement besides the #BlackLivesMatter hashtag?	What else motivates the Black Lives Matter movement?
