qid	manual	paper	myModel
585	What are important applications of real-time databases?	What are important applications of real-time databases processing real time	What are important applications of real-time processing? database
586	What are important cloud options for real-time databases?	What are important cloud options database	What are important cloud options?
587	Tell me about the Firebase DB.	Tell me about the Firebase DB database	Tell me about the Firebase DB.
588	How is Firebase DB used in mobile apps?	How is the Firebase DB used in mobile apps database	How is Firebase DB used in mobile apps? time database
591	Which weekend sports have the most injuries?	Which weekend sports have the most injuries	Which weekend sports have the most injuries?
592	What are the most common types of injuries?	What are the most common types of injuries during weekend sports	What are the most common types of sports injuries?
593	What is the ACL?	What is the ACL	What is the ACL?
594	What is an injury for the ACL?	What is an injury for ACL	What is an ACL injury for?
595	Tell me about the RICE method.	Tell me about the RICE method for ACLs	Tell me about the RICE method of ACL injury.
596	Is there disagreement about the RICE method?	Is there disagreement about the RICE method	Is there disagreement about the RICE method? injuries acl
597	What is arnica used for in sports injuries?	What is arnica used for rice method	What is arnica used for? rice method
598	What are some ways to avoid sports injuries?	What are some ways to avoid injury in arnica acl	What are some ways to avoid injury?
611	Who are The Avengers?	Who are The Avengers	Who are The Avengers?
612	Tell me about The Avengers' first appearance.	Tell me about the Avengers first appearance	Tell me about the Avengers first appearance.
613	Who is the most powerful of The Avengers and why?	Who is the most powerful and why avengers	Who is the most powerful and why? avengers
614	What is the relationship of Spider-Man to The Avengers?	What is the relationship of Spider-Man to the Avengers team	What is the relationship of Spider-Man to the Avengers team?
615	Why is Batman not a member of The Avengers?	Why is Batman not a member of the Avengers	Why is Batman not a member of the Avengers? spider
616	What is an important team in the DC universe?	What is an important team in the DC universe avengers	What is an important team in the DC universe? avengers spider
617	Tell me about the origins of the Justice League in the DC universe.	Tell me about the origins of the Justice League	Tell me about the origins of the Justice League. avengers
618	Who are the important members of the Justice League?	Who are the important members of the Justice League	Who are the important members of the Justice League? avengers
671	Why is blood red?	Why is blood red	Why is blood red?
672	What are red blood cells?	What are red blood cells	What are red blood cells?
673	How are red blood cells created?	How are red blood cells created	How are red blood cells created?
674	How is oxygen transported in blood?	How is oxygen transported in blood red cells	How is oxygen transported to red blood cells?
675	What is anemia?	What is anemia	What is anemia?
676	What are the symptoms of anemia?	What are the symptoms of anemia	What are the symptoms of anemia?
677	Can anemia go away?	Can oxygen go away anemia	Can blood red go away? anemia
678	What are anemia's possible causes?	What are the possible causes of anemia	What are blood red's possible causes? anemia
679	How is anemia treated?	How is oxygen treated anemia	How is red blood treated? anemia
6710	What foods contain high levels of iron?	What foods contain high levels of iron anemia	What foods contain high levels of iron in blood?
6711	What improves iron absorption?	What improves absorption in blood iron	What improves absorption in blood?
681	What is cuisine is Emilia-Romagna famous for?	What is cuisine is Emilia-Romagna famous for	What is cuisine is Emilia-Romagna famous for?
682	Tell me about cooking schools and classes in Emilia-Romagna.	Tell me about cooking schools and classes in Emilia-Romagna romagna emilia	Tell me about cooking schools and classes in Emilia-Romagna.
683	What are famous foods from Emilia-Romagna?	What are famous foods from the region of Emilia romagna	What are famous foods from the region of Emilia-Romagna?
684	Describe the traditional process for making balsamic vinegar.	Describe the traditional process for making balsamic vinegar famous for romagna emilia	Describe the traditional process for making balsamic vinegar? emilia romagna
685	What is mortadella and where is it from?	What is mortadella and where is balsamic vinegar from	What is mortadella and where is it from?
686	What’s the difference between mortadella and bologna?	What is the difference between Bologna and Mortadella	What is the difference between Bologna and Bologna? emilia romagna mortadella
687	Where was Parmesan cheese created?	Where was Parmesan cheese created bologna romagna emilia	Where was Parmesan cheese created?
688	What is done with the whey after production of Parmesan cheese?	What is done with the whey after production of Parmesan cheese romagna emilia	What is done with the whey after production of Parmesan cheese?
689	What are typical pasta dishes from Emilia-Romagna?	What are typical pasta dishes in Emilia-Romagna romagna emilia	What are typical pasta dishes in the region?
6810	What is the history of tagliatelle al ragu bolognese?	What is the history of tagliatelle al ragu bolognese romagna	What is the history of Tagliatelle al ragu bolognese?
6811	What are common variations of tagliatelle al ragu bolognese?	What are common variations of tagliatelle al ragu bolognese	What are Tagliatelle al ragu bolognese's common variations? romagna
691	How do you sleep after jet lag?	How do you sleep after jet lag	How do you sleep after jet lag?
692	Does melatonin help with jet lag?	Does melatonin help sleep after jet lag	Does melatonin help?
693	How was melatonin discovered?	How was melatonin discovered	How was melatonin discovered?
694	What are good sources of melatonin in food?	What are good sources of melatonin in food	What are good sources of melatonin in food?
695	Is melatonin bad for you?	Is melatonin bad for you	Is melatonin bad for you?
696	What are the side effects of melatonin?	What are the side effects of melatonin	What are the side effects of melatonin?
697	Why does melatonin require a prescription in the UK?	Why does melatonin require a prescription in the UK	Why does melatonin require a prescription in the UK?
698	How can I increase my melatonin levels naturally?	How can I increase my levels naturally melatonin	How can I increase my levels naturally? melatonin
699	Is melatonin effective for treating insomnia?	Is melatonin effective for treating insomnia	Is melatonin effective for treating insomnia?
6910	How about melatonin's effect for anxiety?	How about for anxiety melatonin	Is melatonin effective for anxiety?
751	Why do turkey and Turkey share the same name?	Why do turkey and Turkey share the same name	Why do turkey and Turkey share the same name?
752	Where are turkeys from?	Where are turkeys from turkey	Where are turkeys from?
753	What was the importance of turkey in native cultures?	What was turkey's importance in native cultures	What was turkeys' importance in native cultures?
754	When and how were turkeys domesticated?	When and how were turkey domesticated	When and how were turkeys domesticated?
755	Can turkeys fly?	Can turkey fly	Can turkeys fly?
756	Why did Ben Franklin want turkey to be the national symbol?	Why did Ben Franklin want turkey to be the national symbol	Why did Ben Franklin want turkey to be the national symbol? turkeys
758	Why is turkey eaten on Thanksgiving?	Why is turkey eaten on Thanksgiving	Why is turkey meat eaten on Thanksgiving? turkeys
771	What's the difference between soup and stew?	What's the difference between soup and stew	What's the difference between soup and stew?
772	Is chilli a stew?	Is chilli a stew	Is chilli a stew?
773	Is goulash a stew?	How about goulash	How about goulash?
774	What are popular stews in France?	What are popular ones in France stew	What are popular soup and stew recipes in France?
775	How is cassoulet made?	How is cassoulet made in France	How is cassoulet made?
776	Tell me about feijoada and its significance.	Tell me about feijoada and its significance in French cuisine	Tell me about feijoada and its significance.
777	How is feijoada similar or different from cassoulet?	How is feijoada similar or different from cassoulet	How is cassoulet similar or different from cassoulet? stew feijoada
778	Tell about Bigos stew.	Tell me about Bigos stew cassoulet	Tell about Bigos stew. soup
781	What is the keto diet?	What is the keto diet	What is the keto diet?
782	Why was keto diet originally developed?	Why was the keto diet original developed	Why was keto diet original developed?
783	What is ketosis?	What is ketosis diet	What is ketosis?
784	What is paleo diet?	What is paleo ketosis	What is paleo?
785	What do paleo diet and keto diet have in common?	What do paleo dieters have in common	What do ketosis have in common?
786	How are paleo diet and keto diet different?	How are paleo diet different	How are ketosis and paleo different?
787	What is intermittent fasting?	What is intermittent fasting	What is intermittent fasting?
788	How is intermittent fasting related to keto?	How is intermittent fasting related to keto	How is intermittent fasting related to keto?
791	What is taught in sociology?	What is taught in sociology	What is taught in sociology?
792	What is the main contribution of Auguste Comte to sociology?	What is the main contribution of Auguste Comte in sociology	What is the main contribution of Auguste Comte? sociology
793	What is the role of positivism in sociology?	What is the role of positivism in sociology auguste comte	What is the role of positivism in Auguste Comte? sociology
794	What is Herbert Spencer known for in sociology?	What is Herbert Spencer known for sociology	What is Herbert Spencer known for? sociology comte
795	How is Herbert Spencer's work related to Comte?	How is Herbert Spencer's work related to Comte auguste	How is Herbert Spencer's work related to Comte? auguste
796	What is the functionalist theory in sociology?	What is the functionalist theory auguste	What is the functionalist theory? auguste herbert spencer
797	What is the main criticism of functionalist theory in sociology?	What is the functionalist theory's main criticism	What is the main criticism of the functionalist theory? comte
798	How does functionalist theory compare to conflict theory?	How does the functionalist theory compare to conflict theory	How does conflict theory compare to conflict theory? comte functionalist
799	What are modern examples of conflict theory?	What are modern examples of conflict theory	What are modern examples of conflict theory?
