qid	Raw	Human	T5
899	How does the relationship influence biodiversity?	How do predators and prey influence biodiversity?	How does the relationship between predator and prey influence biodiversity?
8910	What are examples of these predators?	What are examples of apex predators?	What are examples of these predators?
8911	Why would humans be considered one?	Why would humans be considered apex predators?	Why would humans be considered a top predator?
901	Which is the biggest commercial plane?	Which is the biggest commercial plane?	Which is the biggest commercial plane?
902	What are its operational costs?	What are the operational costs of the Airbus A380?	What are Airbus A380's operational costs?
903	How does its fuel consumption compare to its competitors?	How does the Airbus A380 fuel consumption compare to its competitors?	How does the Airbus A380's fuel consumption compare to its competitors?
904	How do the freighter versions compare to each other?	How do the freighter versions of the Airbus A380 and Boeing 747 compare to each other?	How do the Boeing 747-400 and the Boeing 747-400 freighter versions compare to each other?
905	Why did the A380 stop being produced?	Why did the Airbus A380 stop being produced?	Why did the A380 stop being produced?
906	What was Boeing's response to compete with it?	What was Boeing's response to compete with the Airbus A380?	What was Boeing's response to compete with it?
907	What is the newest version and what is better about it?	What is the newest version of the Boeing 777 and what is better about it?	What is the newest version of the A380 and what is better about it?
908	What are the differences between the variants?	What are the differences between the Boeing 777X-8 and 777X-9?	What are the differences between the Boeing 777X and the 7777-9 variants?
911	What is the purpose of GDPR?	What is the purpose of the General Data Protection Regulation (GDPR)?	What is the purpose of GDPR?
912	What is different compared to previous legislation?	What is different between General Data Protection Regulation (GDPR) and European Union (EU) Data Protection Directive 95/46/EC?	What is different compared to previous GDPR legislation?
913	What are the privacy implications of those technologies?	What are the privacy implications of social networks and cloud computing?	What are the privacy implications of the new technologies in the GDPR?
914	"Oh, IP addresses are considered PII? What is the full range of personal data?"	"Oh, Internet Protocol (IP) addresses are considered Personally Identifying Information (PII)? What is the full range of personal data defined in the General Data Protection Regulation (GDPR)?"	What is the full range of personal data under GDPR?
915	How do big companies adapt to GDPR?	How do big companies in the United States (US) adapt to the General Data Protection Regulation (GDPR)?	How do big companies adapt to GDPR?
916	OK. Tell me about the privacy issues in social networks.	OK. Tell me about the privacy issues in social networks.	OK. Tell me about the privacy issues in social networks.
917	What do they get in return for their privacy?	What do users of social networks get in return for by giving up their privacy?	What do social media users get in return for their privacy?
918	What are the symptoms of that addiction?	What are the symptoms of social network addiction?	What are the symptoms of social network addiction?
921	Do shoulder braces help recover from an injury?	Do shoulder braces help recover from an injury?	Do shoulder braces help recover from an injury?
922	Tell me more about some exercises that could help.	Tell me more about some shoulder exercises that could help recovery from an injury.	Tell me more about some exercises that could help with shoulder braces
923	What are some others?	What are other exercises besides Pendulum circles for shoulder injuries?	What are some other exercises that could help with shoulder injuries besides pendulum circles?
924	How do I know if it's serious?	How do I know if my shoulder pain is serious?	How do I know if shoulder impingement syndrome is serious?
925	When should you consider surgery?	When should you consider shoulder surgery?	When should you consider surgery for a shoulder injury?
926	That seems extreme. What are other ways to treat the pain?	That seems extreme. What are other ways to treat shoulder pain?	What are other ways to treat the pain from the shoulder injury?
927	How do I stop it from hurting at my desk?	How do I stop my shoulder from hurting at my desk?	How do I stop my shoulder from hurting at my desk?
931	Tell me about purchasing a Burger King franchise.	Tell me about purchasing a Burger King franchise.	Tell me about purchasing a Burger King franchise.
932	"No, not information about its acquisition. I want to know how to open a franchise."	"No, not information about Burger King's acquisition. I want to know how to open a Burger King franchise."	"No, not information about the Pillsbury Company's acquisition. I want to know how to open a Burger King franchise."
933	Is there any financial support for the fee?	Is there any financial support for the initial franchise fee of a Burger King restaurant franchise?	Is there any financial support for the royalty fee for Burger King?
934	How much does an owner typically make?	How much does a Burger King franchise owner typically make?	How much does a Burger King owner typically make?
935	Is it better to be a franchise or independent?	Is it better to be a Burger King franchisee or an independent restaurant owner?	Is it better to be a franchise or independent McDonalds?
936	What support does it provide?	What support does the franchise provide?	What support does the Burger King Franchise Agreement provide?
941	How did snowboarding begin?	How did snowboarding begin?	How did snowboarding begin?
942	Interesting. That's later than I expected. Who were the winners?	Interesting. That's later than I expected. Who were the winners of snowboarding events in the 1998 Winter Olympics?	Who were the winners of the 1998 Winter Olympics snowboarding competition?
943	What are strap-in bindings?	What are strap-in snowboard bindings?	What are strap-in bindings?
944	What's an alternative to this binding style?	What's an alternative to the strap-in binding style for snowboarding?	What's an alternative to strap-in bindings?
945	What else do I need for my first time?	What else besides bindings do I need for my first time snowboarding?	What else do I need for my first time snowboarding?
946	How can I teach myself to get started?	How can I teach myself to get started snowboarding?	How can I teach myself to get started snowboarding?
947	What are the best slopes in Seattle?	What are the best snowboarding slopes for beginners around Seattle?	What are the best slopes in Seattle for snowboarders?
948	What are other things to do at Bachelor?	What are other things to do at Mount Bachelor Ski & Sports	What are other things to do at Bachelor?
951	How are waste and garbage processed?	How are waste and garbage processed?	How are waste and garbage processed?
952	Interesting. What is the impact of burning on the environment?	Interesting. What is the impact of burning waste and garbage on the environment?	What is the impact of burning on the environment?
953	So you can compact them; why does it slow the waste processing?	Why does waste compaction slow the biodegradation of organic waste?	Why does compacting stubble slow the waste processing?
954	How is sewage recycled?	How is sewage recycled?	How is sewage recycled in landfills?
955	What are the pros and cons of recycling vs composting?	What are the pros and cons of recycling vs composting garbage?	What are the pros and cons of recycling vs composting?
956	Tell me more about biodegradable plastics.	Tell me more about biodegradable plastics.	Tell me more about biodegradable plastics in municipal solid waste.
957	How are they made?	How are biodegradable plastics made?	How are biodegradable plastics made?
958	How is corn oil used?	How is corn oil used to make biodegradable plastics?	How is corn oil used in biodegradable plastics?
961	How do you make Japanese Yakiniku?	How do you make Japanese Yakiniku ?	How do you make Japanese Yakiniku?
963	What are the best Yakiniku restaurants in Tokyo?	What are the best Yakiniku restaurants in Tokyo?	What are the best Yakiniku restaurants in Tokyo?
964	Tell me about three star Michelin sushi restaurants there.	Tell me about three star Michelin sushi restaurants in Tokyo.	Tell me about three star Michelin sushi restaurants in Tokyo?
965	Oh you need an agent to make reservations?	How do I make dinner reservations in Tokyo restaurants?	Oh you need an agent to make reservations at Kagurazaka Ishikawa?
966	Tell me other fun things to do there.	Tell me what other fun things there are to do in Tokyo besides eating.	Tell me other fun things to do in Tokyo besides eat at Sukiyabashi Jiro?
967	What is the cost of living there compared to NYC?	What is the cost of living in Tokyo compared to New York City (NYC)?	What is the cost of living in Tokyo compared to NYC?
968	What is the salary of foreign law firms there?	What is the salary of working in foreign law firms in Tokyo?	What is the salary of foreign law firms in Japan?
971	Who are the rivals of the Steelers?	Who are the rivals of the Pittsburgh Steelers?	Who are the rivals of the Steelers?
972	What are notable games between Ravens versus Steelers?	What are notable games between Baltimore Ravens versus Pittsburgh Steelers	What are notable games between Ravens versus Steelers?
973	And notable moments in their rivalry?	What are notable moments in the Ravens and Steelers rivalry?	And notable moments in the Ravens versus Steelers rivalry?
974	Tell me more about that Polamalu's interception.	Tell me more about Polamalu's Interception versus Ravens in the 2008 AFC Championship game.	Tell me more about that Polamalu's interception in Super Bowl XLIII.
975	How about his pick-6?	How about Polamalu's interception return touchdown?	How about Polamalu's pick-6?
976	Tell me more about the immaculate reception.	Tell me more about the immaculate reception of Pittsburgh Steelers.	Tell me more about the immaculate reception of the Pick-6 project by Polamalu.
977	What happened to the stadium?	What happened to Three Rivers stadium?	What happened to Three Rivers Stadium?
978	Tell me more about their defense.	Tell me more about Steelers' defense scheme.	Tell me more about the Pittsburgh Pirates defense.
981	What is the environmental cost of food production?	What is the environmental cost of food production?	What is the environmental cost of food production?
982	Oh that much water? How is that for meat?	Oh that much water? How much water is used in meat production?	Oh that much water? How is that for meat?
983	How much less is used for vegetables?	How much less water is used to produce vegetables compared to meat?	How much less water is used for vegetables in food production?
984	What are the benefits of being vegetarian?	What are the benefits of being vegetarian to the environment?	What are the benefits of being vegetarian?
985	Are there any health concerns?	Are there any health concerns of being vegetarian?	Are there any health concerns with a vegetarian diet?
986	What are their sources of proteins?	What are the sources of proteins for vegetarians?	What are vegetarians' sources of proteins?
987	Oh almonds? Can you show me recipes with it?	Can you show me vegetarian recipes with almonds?	Oh almonds? Can you show me recipes with it?
988	How do you make the flour?	How do you make almond flour?	How do you make the almond flour for macarons?
991	What is high blood carbon dioxide?	What is high blood carbon dioxide?	What is high blood carbon dioxide?
992	What should you do to treat it?	What should you do to treat hypercapnia?	What should you do to treat high blood carbon dioxide?
993	How about high cholesterol?	What are treatments for high cholesterol?	How do you test for high cholesterol?
994	What should I eat to improve it?	What should I eat to improve high cholesterol?	What should I eat to improve my cholesterol?
995	What are the differences between the two fats?	What are the differences between saturated fat and trans fat?	What are the differences between saturated fat and trans fat?
996	"So, there are two types.  Is the other fat good for you?"	What are the benefits of unsaturated fats?	Is the other fat good for you?
997	Oh I like fish.  What other foods are good sources?	"Oh, I like fish. What foods besides fish are good sources of unsaturated fats?"	Oh I like fish. What other foods are good sources of unsaturated fat and lean protein?
998	What types does olive oil contain?	What types of unsaturated fats does olive oil contain?	What types does olive oil contain?
1001	What causes my teeth to chip off?	What causes my teeth to chip off?	What causes my teeth to chip off?
1002	"Oh, what can they do to fix it?"	"Oh, what can dentists do to fix a chipped tooth?"	"Oh, what can your dentist do to fix a chipped or broken tooth?"
1003	"I have a larger chip, how do the options different?"	What are the differences between dental crowns and veneers?	"I have a larger chip, how do the options different for repairing it?"
1004	A crown sounds better. What about using an implant?	How does an implant compare to a crown?	What about using an implant to fix a chip?
1005	Which one is more expensive?	Which one of dental implants or crowns is more expensive?	Which is more expensive?
1006	What is the coverage of the crown in insurance?	What is the coverage of the crown in insurance?	What is the coverage of the crown in insurance?
1007	I meant medicare	What is the coverage of the crown in medicare?	I meant medicare
1008	Show me covered dentists in Seattle	Show me medicare dentists in Seattle	Show me covered dentists in Seattle
1011	What is Melania Trump's religion?	What is Melania Trump's religion?	What is Melania Trump's religion?
1012	What did she do before she was married?	What did Melania Trump do before she was married?	What did Melania Trump do before she was married?
1013	Does she have children?	Does Melania Trump have children?	Does Melania Trump have children?
1014	How old is he?	How old is Barron Trump?	How old is Donald Trump?
1015	They met at the Kit Kat Club?  Where is that?	Donald and Melania Trump met at the Kit Kat Club?  Where is the Kit Kat Club?	Where is the Kit Kat Club where Melania Trump and Donald Trump met?
1016	When did she become a model?	When did Melania Trump become a model?	When did Melania Trump become a model?
1017	Do we pay the First Lady?	Does the public pay the First Lady of the United States?	Do we pay Melania Trump as First Lady?
1018	What about Ivanka?	Does the public pay Ivanka Trump?	What about Ivanka Trump?
1019	And Jared?	Does the public pay Jared Kushner?	And Jared Trump?
10110	What does he do at the White House?	What does Jared Kushner do at the White House?	What does Jared Rosholt do at the White House?
1021	When did social security start in the US?	When did social security start in the United States (US)?	When did social security start in the US?
1022	Was it mandatory?	Was social security mandatory?	Was Social Security mandatory in the United States?
1023	Who received the first check?	Who received the first social security check?	Who received the first Social Security check?
1024	When did the government start borrowing from it?	When did the government start borrowing from social security?	When did the government start borrowing from Social Security checks?
1025	How much is owed?	How much money is owed to social security?	How much is owed by Social Security?
1026	When will it run out of money?	When will social security run out of money?	When will the Social Security Administration run out of money?
1027	Wow! What will happen?	Wow! What will happen if social security runs out of money?	Wow! What will happen to the Social Security Trust Fund?
1028	Can it be fixed?	Can social security be fixed?	Can Social Security checks be fixed?
1029	How much of an increase?	How much of a tax increase will keep social security solvent?	How much of an increase is there in Social Security?
1031	Why were the Dead such an influential live band?	Why were the Grateful Dead such an influential live band?	Why were the Dead such an influential live band?
1032	Why did they allow live recordings?	Why did the Grateful Dead allow live recordings?	Why did Dave and the Dead allow live recordings?
1033	Did they have a #1 hit?	Did the Grateful Dead have a number one hit?	Did the Grateful Dead have a #1 hit?
1034	Who was the leader?	Who was the leader of the Grateful Dead?	Who was the leader of Scarface?
1035	How did he lose his finger?	How did Jerry Garcia lose his finger?	How did Jerry Garcia lose his finger?
1036	What was his relationship to the Airplane?	What was Jerry Garcia's relationship to Jefferson Airplane?	What was Raynaud's relationship to the Airplane?
1038	Who wrote it?	Who wrote Cassidy?	"Who wrote the song, The Dead?"
1039	What else did they write?	What else did John Barlow and Bob Weir write?	What else did the Grateful Dead write besides Cassidy?
10310	Why did the band break up?	Why did the Grateful Dead break up?	Why did the band The Living End break up?
1041	Who are some of the well-known Information Retrieval researchers?	Who are some of the well-known Information Retrieval researchers?	Who are some of the well-known Information Retrieval researchers?
1043	Who are some important British ones?	Who are some important British Information Retrieval researchers?	Who are some important British researchers in Information Retrieval?
1044	What did his studies contribute to evaluation?	What did Cyril Cleverdon's studies contribute to the evaluation of Information Retrieval systems?	What did Cyril Cleverdon's studies contribute to evaluation?
1046	How did they influence modern initiatives?	How did the Cranfield Experiments influence modern information retrieval evaluation initiatives?	How did Brick and mortar business brick-and-mortar experiments influence modern initiatives?
1047	What is TREC?	What is TREC for information retrieval research?	What is TREC?
1048	What are some recent tasks?	What are some recent TREC tasks?	What are some recent tasks of the Information Retrieval Research Centre?
1049	e-Discovery?  What's that?	e-Discovery?  What's that?	What's e-Discovery? What's that?
10410	What are the important components of a test collection?	What are the important components of an information retrieval test collection?	What are the important components of a test collection?
10412	What are important measures for web search engines?	What are important evaluation measures for web search engines?	What are important measures for web search engines?
10413	What about online ones?	What are important online evaluation metrics for web search?	What are the important metrics for online search engines?
1051	When did the Black Lives Matter campaign begin?	When did the Black Lives Matter campaign begin?	When did the Black Lives Matter campaign begin?
1052	Tell me more about what happened.	Tell me more about the shooting of Trayvon Martin.	"Tell me more about what happened in Ferguson, Missouri with the Black Lives Matter movement"
1053	Why was he acquitted?	Why was George Zimmerman acquitted?	Why was Trayvon Martin acquitted of murder?
1054	And how about what happened to Brown?	And how what happened to Michael Brown?	And what happened to Brown in the Black Lives Matter campaign?
1055	Who named the movement?	"Who named the movement ""Black Lives Matter""?"	Who named the Black Lives Matter movement?
1056	What was the US reaction to it?	What was the US reaction to the Black Lives Matter movement?	What was the US reaction to the Black Lives Matter campaign?
1057	Tell me more about the movement of the police supporters.	Tell me more about the Blue Lives Matter movement.	Tell me more about the movement of the police supporters of the hashtag Blue Lives Matter
1058	Why were they killed?	Why were Rafael Ramos and Wenjian Liu killed?	Why were the NYPD officers killed in the 2014 killings of Wenjian Liu and Rafael Ramos?
1059	What else motivates the Black Lives Matter movement?	What else motivates the Black Lives Matter movement?	What else motivates the Black Lives Matter movement besides the #BlackLivesMatter hashtag?
